certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category
307.,Strada ŞTIRBEI VODĂ,22,1,1936,D+P+2E+Ma,6,1.521,2010,Mihai URSACHESCU,,Rs1
308.,Strada ŞTIRBEI VODĂ,126,1,1935,S+P+3E,6,800,1994,Emil COROIU,,Rs1
309.,Strada TACHE IONESCU,3,1,1935,S+P+9E,19,2.210,1993,Zefir APOSTOL,,Rs1
310.,Strada TITU MAIORESCU,16,2,1925,S+P+3E,8,800,1993,Mihai NAVODARIU,,Rs1
311.,"Strada TUDOR ARGHEZI
 Strada BATIŞTE","26
 17",2,1939,S+P+8E,76,7.970,1993,Emilian TITARU,,Rs1
312.,Strada TUDOR ARGHEZI,54,2,1924,S+P+7E,19,2.612,1996,Helmuth KOBER,,Rs1
313.,Strada ŢEPEŞ VODĂ,84C,2,1930,S+P; S+P+3E+Ma,9,784,1993,Ion LUNGU,,Rs1
314.,Splaiul UNIRII,66 - 68,4,1908,S+P+1E,2,160,1993,Dan STANCIULESCU,,Rs1
315.,Splaiul UNIRII,78,4,1936,S+P+1E,5,230,1993,Dan STANCIULESCU,,Rs1
316.,Splaiul UNIRII,98,4,1900,S+P,2,145,1993,Dan STANCIULESCU,,Rs1
317.,Strada VASELOR,38,2,1913,S+P+2E+Ma,9,815,1993,Ion LUNGU,,Rs1
318.,Strada VASELOR,44,2,1928,S+P+3E,54,8.684,1993,Adina SIMION,,Rs1
319.,Strada VASILE LASCĂR,18,2,1935,S+P+6E,35,5.041,1993,Emilian TITARU,,Rs1
320.,Strada VASILE LASCĂR,26 - 28,2,1937,P+6E,28,3.080,1993,Mircea DABIJA; Paul VERNESCU,,Rs1
321.,Strada VASILE LUCACIU,15,3,1930,S+P+2E+Ma,3,684,1993,Adina SIMION,,Rs1
322.,Strada VASILE LUCACIU,18,3,1934,S+P+3E,6,684,1993,Adina SIMION,,Rs1
323.,Strada VASILE LUCACIU,90,3,1930,S+P+1; S+P+2E+Ma,6,1.152,1993,Dan POPESCU,,Rs1
324.,Strada VASILE PÂRVAN,2 - 4,1,1926,S+P+1E,3,304,1993,Constantin ARIENESCU,,Rs1
325.,Strada VÂNĂTORI,1A,5,1936,S+P+5E+Ma,17,1.296,2012,Horia DUGAN,Încadrare în clasă de risc seismic în anul 2012,Rs1
326.,Strada VÂNĂTORI,3 - 3A,5,1891,S+P+3E+Ma,19,2.378,1995,Mircea IEREMIA,,Rs1
327.,Strada VÂNATORI,17,5,1938,P+5E,8,918,1995,Ioan NICULA,,Rs1
328.,Intrarea VICTOR EFTIMIU,9,1,1935,S+P+8E,88,7.905,1994,Nicolae TEMELCU,,Rs1
329.,Calea VICTORIEI,31,1,1909,S+P+4E,28,4.545,1995,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2008,Rs1
330.,Calea VICTORIEI,52,1,1850,S+P+3E,31,3.447,1995,Eugeniu IORDACHESCU,,Rs1
331.,Calea VICTORIEI,87 - 89,1,1890,S+P+2E+Ma,25,4.452,1993,Emilian TITARU,,Rs1
332.,Calea VICTORIEI,95,1,1938,S+P+11E,37,4.167,1993,Dan CAPATINA,,Rs1
333.,"Calea VICTORIEI
 (corp A + B)",101,1,1938,S+P+10E,95,7.572,1994,Eugeniu IORDANESCU,,Rs1
334.,Calea VICTORIEI,112,1,1939,S+P+Mz+8E,27,5.212,1995,Dan POPESCU,,Rs1
335.,Calea VICTORIEI,124,1,1900,S+P+5E+Ma,28,3.377,1997,Valentin GEORGESCU,,Rs1
336.,Calea VICTORIEI,139,1,1942,S+P+7E,30,1.290,1993,Rodica ANGELESCU,,Rs1
337.,Calea VICTORIEI,208,1,1940,P+7E+Ma,44,5.200,1996,Mihai NAVODARIU,,Rs1
338.,Calea VICTORIEI,220,1,1938 - 1945,2S+P+4E,0,2.200,2014,Mihai VOICULESCU,Încadrare în clasă de risc seismic în anul 2014,Rs1
339.,Strada VIITORULUI,114,2,1930,S+P+3E,5,817,1993,Dragoş BADEA,,Rs1
